tilt,vibration,temperature,humidity,risk
8.48,36,30.3,55.8,MEDIUM
8.04,12,30.1,51.5,MEDIUM
1.09,5,22.7,48.9,LOW
12.44,79,35.7,87.1,HIGH
2.72,0,23.6,55.1,LOW
1.6,7,23.2,60.4,LOW
5.21,56,29.5,65.7,MEDIUM
5.86,26,34.6,78.7,MEDIUM
15.58,73,42.0,80.3,HIGH
12.99,63,35.0,60.3,HIGH
4.18,28,28.4,62.6,MEDIUM
0.77,13,28.3,39.1,LOW
5.29,39,33.2,70.7,MEDIUM
0.18,22,29.8,57.0,LOW
15.51,65,30.6,67.7,HIGH
3.08,18,28.5,40.9,LOW
1.43,8,22.3,58.6,LOW
3.22,19,21.5,57.7,LOW
3.44,17,24.7,56.6,LOW
1.73,6,22.6,36.4,LOW
0.9,14,27.0,44.6,LOW
6.49,30,31.8,65.3,MEDIUM
1.69,10,28.2,58.8,LOW
2.35,29,29.9,53.7,MEDIUM
5.13,43,30.8,66.0,MEDIUM
2.92,9,29.2,60.0,LOW
4.37,66,32.9,68.1,MEDIUM
3.61,19,31.0,48.7,LOW
1.93,1,27.3,59.5,LOW
7.27,36,28.7,61.5,MEDIUM
3.51,8,23.0,36.1,LOW
2.74,21,23.7,58.0,LOW
2.94,19,31.1,44.1,LOW
7.53,78,35.7,75.2,HIGH
3.31,40,31.4,45.7,MEDIUM
2.62,4,20.2,52.3,LOW
3.52,3,22.7,33.0,LOW
5.12,41,31.7,53.5,MEDIUM
6.69,30,34.4,71.6,MEDIUM
2.77,6,21.9,48.1,LOW
9.31,94,37.6,81.6,HIGH
1.45,15,25.2,58.1,LOW
3.23,12,27.3,40.9,LOW
2.8,22,23.9,53.2,LOW
3.02,7,29.1,38.8,LOW
0.42,21,27.6,36.4,LOW
2.31,7,26.8,57.0,LOW
2.99,43,31.4,59.5,MEDIUM
6.78,68,30.0,91.4,HIGH
2.86,16,30.7,62.3,LOW
4.91,51,31.4,65.0,MEDIUM
2.07,8,26.8,42.0,LOW
6.2,41,35.9,66.6,MEDIUM
10.89,104,32.5,89.3,HIGH
18.36,131,35.6,93.7,HIGH
5.39,34,29.5,69.5,MEDIUM
1.81,13,23.1,58.5,LOW
2.51,5,28.2,51.6,LOW
3.0,53,29.0,61.2,MEDIUM
3.08,8,24.7,56.5,LOW
2.42,9,26.7,61.0,LOW
8.8,79,32.8,85.5,HIGH
22.35,141,39.1,78.3,HIGH
2.29,0,20.4,49.3,LOW
2.38,11,29.7,45.1,LOW
3.52,20,28.4,41.4,LOW
3.13,5,29.8,36.8,LOW
7.87,17,31.6,71.7,MEDIUM
18.95,69,35.6,85.1,HIGH
1.56,27,29.5,54.2,LOW
8.76,16,25.9,58.4,MEDIUM
0.24,11,28.2,35.8,LOW
0.44,11,23.4,57.3,LOW
4.02,23,25.5,43.3,LOW
2.07,25,26.6,43.2,LOW
5.37,26,28.6,66.5,MEDIUM
2.64,5,21.0,54.9,LOW
12.51,76,33.5,87.2,HIGH
3.96,48,29.7,65.7,MEDIUM
22.57,88,42.3,79.1,HIGH
2.17,14,23.1,50.3,LOW
9.26,104,32.3,69.1,HIGH
6.13,39,29.8,65.3,MEDIUM
2.76,53,28.6,60.6,MEDIUM
3.59,6,27.7,50.2,LOW
4.84,38,33.7,53.3,MEDIUM
4.69,60,29.8,47.4,MEDIUM
2.37,19,31.2,57.0,LOW
5.68,31,33.8,76.5,MEDIUM
3.79,13,30.3,40.9,LOW
5.2,44,28.2,59.7,MEDIUM
5.44,59,27.4,64.9,MEDIUM
3.15,9,27.2,50.7,LOW
6.61,48,35.0,75.0,MEDIUM
7.08,52,35.0,65.0,MEDIUM
1.76,7,27.7,58.7,LOW
4.23,38,34.9,83.6,MEDIUM
0.49,14,27.3,51.1,LOW
11.59,81,35.6,81.5,HIGH
5.93,27,32.1,75.6,MEDIUM
21.4,131,43.8,85.9,HIGH
3.33,32,35.5,74.3,MEDIUM
11.76,58,34.9,75.2,HIGH
8.92,68,35.3,72.4,HIGH
10.34,62,38.9,67.4,HIGH
20.07,137,38.9,93.7,HIGH
7.26,50,31.1,73.3,MEDIUM
2.85,15,26.2,36.7,LOW
5.07,47,33.8,71.8,MEDIUM
12.78,115,28.9,83.8,HIGH
4.33,44,29.6,46.5,MEDIUM
1.85,12,21.8,61.8,LOW
7.7,138,34.0,75.3,HIGH
3.51,1,29.9,45.1,LOW
10.13,97,34.8,62.5,HIGH
0.64,4,26.5,41.2,LOW
7.66,29,27.8,54.7,MEDIUM
1.17,22,30.4,51.3,LOW
3.84,17,25.9,58.1,LOW
2.68,56,28.7,63.7,MEDIUM
4.0,20,25.5,49.0,LOW
17.74,125,43.1,90.3,HIGH
3.36,28,32.1,82.5,MEDIUM
23.17,141,44.7,78.9,HIGH
2.99,9,23.9,48.7,LOW
9.14,55,35.1,79.8,HIGH
7.12,36,34.4,66.2,MEDIUM
3.41,8,27.8,37.7,LOW
0.53,18,29.5,59.0,LOW
3.94,40,37.9,83.5,MEDIUM
11.34,79,31.6,68.6,HIGH
4.68,41,32.8,70.6,MEDIUM
0.48,19,27.1,61.1,LOW
18.12,126,40.2,81.2,HIGH
0.38,8,23.2,40.1,LOW
5.68,60,26.4,51.2,MEDIUM
5.63,25,32.5,83.7,MEDIUM
3.89,11,28.7,46.3,LOW
2.57,12,20.3,62.2,LOW
13.78,107,40.4,84.8,HIGH
0.88,17,32.7,52.6,LOW
4.12,4,23.6,59.3,LOW
0.78,7,29.0,47.0,LOW
2.11,20,28.6,53.8,LOW
18.91,107,40.9,88.9,HIGH
16.16,82,37.1,94.9,HIGH
20.78,108,41.6,94.6,HIGH
3.38,22,20.7,38.9,LOW
0.43,4,25.6,59.8,LOW
5.19,43,36.5,81.8,MEDIUM
18.93,111,43.0,91.4,HIGH
8.38,16,29.9,64.9,MEDIUM
14.51,92,31.5,70.9,HIGH
1.14,21,25.5,43.7,LOW
0.38,8,26.4,53.6,LOW
5.98,37,31.2,50.5,MEDIUM
3.33,4,21.0,45.8,LOW
4.34,34,33.8,70.4,MEDIUM
5.36,34,35.5,76.2,MEDIUM
2.06,52,29.2,58.2,MEDIUM
3.3,51,30.4,53.4,MEDIUM
3.63,22,37.5,82.1,MEDIUM
1.39,8,32.2,48.2,LOW
6.07,31,34.5,69.5,MEDIUM
3.38,7,24.9,47.8,LOW
3.27,7,29.6,36.5,LOW
1.19,7,27.5,48.5,LOW
1.92,20,25.8,50.0,LOW
23.54,106,43.2,77.9,HIGH
2.67,20,20.7,53.6,LOW
0.52,17,27.1,36.7,LOW
0.47,16,21.0,57.0,LOW
8.17,101,34.5,72.6,HIGH
7.9,84,34.4,71.2,HIGH
0.92,3,24.0,44.4,LOW
2.98,18,26.9,49.6,LOW
19.24,70,36.2,67.1,HIGH
8.66,24,26.5,74.0,MEDIUM
2.91,2,23.5,54.1,LOW
3.51,21,38.6,72.3,MEDIUM
2.4,53,30.9,46.5,MEDIUM
3.02,19,23.3,56.4,LOW
20.34,118,39.9,93.7,HIGH
4.79,26,39.0,79.6,MEDIUM
1.03,5,23.6,50.3,LOW
13.36,125,36.1,78.0,HIGH
4.06,49,30.0,57.1,MEDIUM
6.94,54,30.4,68.2,MEDIUM
4.5,23,37.1,81.3,MEDIUM
18.07,93,37.2,86.4,HIGH
3.82,5,31.3,53.6,LOW
2.45,9,21.5,36.9,LOW
16.12,77,32.8,72.3,HIGH
14.79,88,35.7,66.7,HIGH
1.75,3,21.7,56.1,LOW
15.97,108,34.8,74.6,HIGH
1.23,6,23.6,60.2,LOW
19.2,55,38.8,73.5,HIGH
2.51,3,22.1,56.5,LOW
3.08,8,21.3,38.2,LOW
3.71,11,30.8,35.2,LOW
4.27,56,30.4,49.6,MEDIUM
4.47,56,25.8,50.0,MEDIUM
5.53,40,26.2,60.1,MEDIUM
3.15,23,20.6,41.8,LOW
13.55,96,34.4,82.1,HIGH
1.62,12,26.8,61.7,LOW
3.34,13,25.2,41.6,LOW
2.2,1,28.9,44.3,LOW
4.75,41,35.7,71.8,MEDIUM
0.69,9,29.2,45.4,LOW
6.39,49,29.0,67.0,MEDIUM
4.55,28,35.0,82.3,MEDIUM
1.24,12,23.1,54.0,LOW
2.22,58,27.8,55.6,MEDIUM
2.83,7,30.5,62.2,LOW
5.49,29,30.1,62.8,MEDIUM
5.41,15,25.5,72.4,MEDIUM
2.38,25,28.0,33.4,LOW
2.11,22,27.0,38.8,LOW
4.7,43,37.3,82.1,MEDIUM
3.2,12,22.1,53.3,LOW
3.19,0,31.4,59.2,LOW
3.72,5,22.1,45.9,LOW
1.98,2,29.2,45.7,LOW
5.86,46,27.0,62.4,MEDIUM
1.34,8,26.8,62.0,LOW
1.97,19,24.4,47.3,LOW
12.0,65,31.4,63.1,HIGH
4.7,46,31.7,52.9,MEDIUM
1.82,19,30.9,43.2,LOW
0.29,6,25.9,59.9,LOW
3.58,4,23.1,41.7,LOW
1.26,16,22.7,49.8,LOW
2.67,8,28.8,49.7,LOW
9.55,86,34.4,90.1,HIGH
2.3,8,30.1,57.5,LOW
6.22,39,32.6,79.9,MEDIUM
5.58,51,34.1,71.6,MEDIUM
8.19,25,28.1,53.5,MEDIUM
3.05,13,27.0,56.7,LOW
4.8,29,37.7,70.8,MEDIUM
5.1,26,31.9,55.7,MEDIUM
3.53,10,28.2,50.6,LOW
13.43,102,36.7,79.7,HIGH
6.25,47,33.6,75.7,MEDIUM
3.45,43,33.8,79.3,MEDIUM
6.21,41,31.8,63.0,MEDIUM
4.51,55,25.9,45.6,MEDIUM
8.71,103,37.5,81.5,HIGH
8.1,28,33.7,65.0,MEDIUM
4.66,36,32.7,59.1,MEDIUM
5.45,42,30.5,70.3,MEDIUM
2.02,13,30.8,39.5,LOW
2.79,13,23.8,36.2,LOW
3.01,25,19.4,56.2,LOW
9.97,134,29.6,69.1,HIGH
3.03,15,22.0,48.3,LOW
1.77,22,25.1,41.0,LOW
2.44,21,26.7,48.3,LOW
4.57,49,32.5,70.5,MEDIUM
2.99,63,31.5,69.1,MEDIUM
4.02,11,20.8,47.1,LOW
3.64,9,26.1,65.7,LOW
2.79,16,27.5,58.6,LOW
15.3,140,41.7,94.6,HIGH
0.95,0,30.2,42.2,LOW
2.3,11,23.8,41.4,LOW
0.43,11,19.2,57.2,LOW
2.27,60,24.3,47.6,MEDIUM
2.48,14,24.7,49.2,LOW
13.97,104,35.7,94.9,HIGH
2.65,13,22.0,51.3,LOW
1.69,10,30.2,43.6,LOW
1.77,14,23.5,52.5,LOW
6.99,42,30.5,62.6,MEDIUM
6.39,18,29.2,54.8,MEDIUM
3.47,10,30.2,53.2,LOW
2.17,3,28.5,53.7,LOW
5.8,12,29.0,61.5,MEDIUM
2.48,3,25.5,58.2,LOW
5.51,62,26.1,47.3,MEDIUM
2.76,14,29.7,38.0,LOW
2.6,9,27.5,50.4,LOW
2.09,10,27.7,58.8,LOW
19.96,84,39.2,87.7,HIGH
3.47,0,26.0,58.9,LOW
7.08,54,29.4,64.4,MEDIUM
7.83,30,28.3,54.0,MEDIUM
1.72,1,31.7,51.6,LOW
6.37,52,30.3,68.4,MEDIUM
3.1,11,21.3,38.0,LOW
3.26,13,25.7,40.9,LOW
4.18,22,25.7,51.5,LOW
6.73,33,25.6,53.1,MEDIUM
4.28,38,28.2,53.1,MEDIUM
9.91,97,40.1,83.4,HIGH
4.71,53,29.1,72.9,MEDIUM
1.91,6,28.4,37.2,LOW
3.13,16,21.6,63.5,LOW
19.69,72,36.1,75.8,HIGH
0.31,13,25.1,52.2,LOW
2.56,17,27.2,57.9,LOW
2.58,14,29.3,54.9,LOW
3.99,30,36.5,73.3,MEDIUM
3.98,25,35.7,72.2,MEDIUM
7.51,108,37.0,66.4,HIGH
2.17,24,27.8,58.4,LOW
5.21,50,34.2,62.6,MEDIUM
5.02,39,31.7,67.8,MEDIUM
1.01,4,25.4,36.1,LOW
0.3,20,26.4,48.6,LOW
4.61,26,32.4,81.7,MEDIUM
17.88,80,35.5,76.2,HIGH
5.52,49,27.9,50.0,MEDIUM
1.57,5,21.0,35.2,LOW
17.88,101,37.0,86.3,HIGH
3.84,22,36.2,78.7,MEDIUM
8.15,46,27.7,66.5,MEDIUM
2.55,18,28.1,46.2,LOW
2.43,5,28.4,40.5,LOW
22.03,118,42.3,93.8,HIGH
0.96,12,24.5,35.5,LOW
8.5,101,29.8,87.3,HIGH
3.67,9,24.2,36.6,LOW
3.18,20,29.1,55.7,LOW
13.75,83,39.2,71.4,HIGH
1.8,11,29.6,62.2,LOW
6.26,33,34.2,82.4,MEDIUM
11.91,145,36.5,86.5,HIGH
14.83,103,41.6,87.8,HIGH
2.83,18,29.9,39.7,LOW
1.81,6,28.3,49.2,LOW
0.64,6,24.4,36.4,LOW
5.86,34,38.1,84.7,MEDIUM
3.94,4,20.1,43.8,LOW
16.9,137,38.1,94.1,HIGH
15.54,67,34.8,69.0,HIGH
12.15,87,39.7,75.3,HIGH
2.68,26,23.9,48.1,LOW
15.69,128,35.6,75.1,HIGH
4.3,43,31.8,53.3,MEDIUM
4.52,21,38.9,72.0,MEDIUM
0.12,15,26.5,35.0,LOW
2.4,23,19.9,58.0,LOW
4.63,33,35.3,71.9,MEDIUM
2.28,53,27.7,56.3,MEDIUM
21.27,96,40.6,86.2,HIGH
10.84,87,36.7,77.2,HIGH
0.59,5,22.5,41.2,LOW
4.5,12,23.4,57.0,LOW
7.45,62,34.4,77.0,HIGH
4.82,42,34.1,67.6,MEDIUM
8.46,36,29.6,66.3,MEDIUM
3.91,60,24.4,68.3,MEDIUM
3.83,11,23.7,61.3,LOW
12.92,145,28.5,63.8,HIGH
3.98,11,26.2,43.4,LOW
1.06,4,25.3,60.8,LOW
1.35,19,26.7,57.6,LOW
1.47,9,28.8,46.3,LOW
2.6,47,25.2,47.1,MEDIUM
2.14,10,27.1,63.7,LOW
3.22,20,31.8,43.7,LOW
14.04,96,29.7,73.4,HIGH
2.69,4,24.8,46.2,LOW
5.29,19,29.1,58.7,MEDIUM
5.37,32,34.3,71.8,MEDIUM
0.6,6,24.4,34.0,LOW
5.18,32,32.7,80.0,MEDIUM
2.77,7,26.8,60.3,LOW
3.06,33,32.9,70.2,MEDIUM
6.08,35,33.9,75.5,MEDIUM
8.47,24,30.6,73.0,MEDIUM
0.66,6,25.9,51.4,LOW
6.17,33,29.6,65.8,MEDIUM
18.81,86,35.4,75.2,HIGH
5.87,29,37.3,84.1,MEDIUM
4.64,51,32.7,71.4,MEDIUM
1.92,5,23.1,60.1,LOW
4.43,27,38.3,76.3,MEDIUM
8.17,43,26.6,55.3,MEDIUM
4.51,41,32.5,67.5,MEDIUM
21.56,52,35.7,75.2,HIGH
7.3,48,33.5,74.4,MEDIUM
3.69,10,23.8,53.1,LOW
1.58,24,25.5,36.0,LOW
3.73,21,25.1,62.9,LOW
4.29,43,28.0,64.4,MEDIUM
2.23,20,28.4,39.0,LOW
0.49,21,30.3,34.7,LOW
3.61,14,24.2,52.9,LOW
6.35,33,36.0,77.8,MEDIUM
16.9,116,44.7,85.4,HIGH
12.58,136,37.9,63.5,HIGH
6.91,34,34.0,71.1,MEDIUM
10.42,132,42.9,87.9,HIGH
15.89,83,34.5,83.9,HIGH
3.81,1,19.0,44.7,LOW
2.2,57,30.9,52.8,MEDIUM
5.0,32,25.4,60.3,MEDIUM
3.17,44,34.0,70.6,MEDIUM
5.55,13,27.5,71.4,MEDIUM
2.23,7,30.6,59.6,LOW
3.13,40,33.5,73.5,MEDIUM
3.3,13,21.6,37.8,LOW
1.62,14,25.6,42.8,LOW
5.19,16,25.9,58.8,MEDIUM
5.95,51,31.0,64.1,MEDIUM
2.22,9,30.7,56.9,LOW
7.26,31,35.5,74.7,MEDIUM
13.66,105,35.5,75.6,HIGH
12.93,85,32.4,78.5,HIGH
21.5,94,36.9,94.1,HIGH
17.11,78,33.5,81.7,HIGH
3.06,22,38.8,77.0,MEDIUM
0.9,4,27.1,61.2,LOW
1.03,18,30.3,49.7,LOW
3.5,4,24.7,59.9,LOW
6.79,28,30.3,68.1,MEDIUM
4.44,35,35.3,84.4,MEDIUM
14.95,85,31.1,68.6,HIGH
1.37,19,20.3,47.2,LOW
1.94,3,22.1,37.6,LOW
2.52,6,20.7,38.0,LOW
5.36,32,34.2,62.8,MEDIUM
13.89,114,31.2,85.2,HIGH
3.61,13,30.6,54.1,LOW
10.37,120,37.7,61.2,HIGH
6.94,31,28.4,65.6,MEDIUM
0.9,15,22.4,55.1,LOW
3.22,0,25.1,58.7,LOW
3.49,18,28.0,42.6,LOW
5.76,47,25.3,51.9,MEDIUM
20.12,147,38.2,75.9,HIGH
5.51,31,35.2,71.3,MEDIUM
3.8,38,32.2,70.2,MEDIUM
1.73,14,24.3,44.8,LOW
11.64,115,29.5,63.9,HIGH
1.73,12,24.4,47.2,LOW
12.18,110,44.6,78.0,HIGH
12.48,98,37.3,80.5,HIGH
5.46,38,36.5,76.3,MEDIUM
1.69,1,20.0,41.8,LOW
21.14,141,42.1,76.1,HIGH
2.36,9,27.4,48.8,LOW
0.97,21,26.3,61.3,LOW
0.63,21,19.6,39.3,LOW
4.61,38,34.8,75.9,MEDIUM
3.03,19,23.4,49.4,LOW
20.46,138,37.7,77.3,HIGH
3.64,13,30.0,51.3,LOW
3.89,10,26.6,57.8,LOW
5.31,40,34.4,64.0,MEDIUM
0.9,0,30.6,54.1,LOW
0.99,14,30.1,49.6,LOW
6.43,45,30.6,67.1,MEDIUM
2.99,21,23.2,57.4,LOW
7.35,39,30.7,63.1,MEDIUM
6.15,32,33.3,66.2,MEDIUM
0.71,0,22.1,38.9,LOW
2.7,16,21.4,50.2,LOW
6.02,25,28.7,60.6,MEDIUM
20.56,118,39.1,93.9,HIGH
4.85,50,31.8,73.1,MEDIUM
4.58,49,32.1,51.1,MEDIUM
5.96,31,35.7,79.7,MEDIUM
2.98,0,24.4,41.7,LOW
6.86,18,32.0,58.4,MEDIUM
0.47,8,28.2,60.5,LOW
1.31,19,21.0,41.4,LOW
4.91,26,34.3,79.2,MEDIUM
22.42,88,37.1,85.8,HIGH
4.09,20,25.0,36.8,LOW
6.54,28,27.4,63.9,MEDIUM
1.86,2,26.0,55.6,LOW
1.89,14,23.0,39.1,LOW
2.51,17,30.8,45.5,LOW
5.19,30,30.2,66.6,MEDIUM
3.34,8,22.7,60.8,LOW
19.9,113,38.4,88.2,HIGH
14.79,120,30.0,73.9,HIGH
2.06,31,32.3,52.6,MEDIUM
10.93,112,39.0,80.3,HIGH
5.41,35,33.6,77.5,MEDIUM
1.97,0,29.9,54.9,LOW
11.97,88,36.2,70.2,HIGH
2.72,0,23.0,43.4,LOW
7.4,33,25.9,70.6,MEDIUM
3.62,18,25.7,35.1,LOW
3.33,38,32.6,80.1,MEDIUM
2.72,53,25.7,46.8,MEDIUM
5.11,44,34.0,72.4,MEDIUM
2.88,4,20.6,42.9,LOW
1.86,19,21.1,63.3,LOW
4.86,54,29.1,73.5,MEDIUM
4.08,35,25.5,65.9,MEDIUM
18.95,81,41.0,84.6,HIGH
14.33,108,37.8,88.9,HIGH
4.81,31,37.8,81.9,MEDIUM
2.12,7,29.8,35.0,LOW
10.99,131,36.9,80.5,HIGH
4.84,42,32.1,61.2,MEDIUM
0.72,9,31.7,45.6,LOW
24.75,103,39.4,80.1,HIGH
1.34,5,22.3,59.8,LOW
4.4,39,37.6,81.6,MEDIUM
5.88,29,28.3,46.3,MEDIUM
16.0,126,44.7,77.8,HIGH
2.6,13,32.5,49.2,LOW
4.37,5,25.2,57.8,LOW
20.08,121,44.9,86.6,HIGH
3.9,20,21.3,52.9,LOW
3.63,12,27.3,39.5,LOW
2.88,53,26.2,59.5,MEDIUM
8.23,50,27.3,63.4,MEDIUM
9.01,116,36.5,89.7,HIGH
2.3,21,21.6,54.1,LOW
12.33,87,40.6,89.0,HIGH
0.75,16,31.9,53.2,LOW
5.44,48,34.3,66.0,MEDIUM
5.06,56,30.2,46.7,MEDIUM
16.51,94,39.5,82.0,HIGH
2.69,16,23.0,54.5,LOW
0.79,18,21.3,59.9,LOW
1.32,13,29.3,48.8,LOW
7.31,24,31.6,52.3,MEDIUM
1.14,15,29.6,39.5,LOW
1.61,4,24.1,41.6,LOW
13.61,81,38.7,77.3,HIGH
11.64,88,36.6,89.5,HIGH
1.67,18,25.6,56.4,LOW
21.15,53,41.9,73.8,HIGH
7.23,44,29.1,74.0,MEDIUM
3.02,10,20.1,41.0,LOW
3.82,15,19.8,39.0,LOW
1.25,17,30.7,58.8,LOW
5.76,40,29.2,50.1,MEDIUM
1.66,5,23.6,45.7,LOW
1.9,14,29.0,39.7,LOW
2.94,14,24.6,46.1,LOW
5.63,48,29.6,69.0,MEDIUM
1.27,12,28.2,36.5,LOW
3.29,7,30.3,38.8,LOW
2.76,17,24.1,56.4,LOW
2.42,21,20.8,39.8,LOW
6.82,109,30.7,64.5,HIGH
0.85,22,28.3,50.1,LOW
2.18,16,28.8,52.4,LOW
5.45,39,39.0,80.8,MEDIUM
2.88,0,30.9,52.6,LOW
1.84,8,29.0,48.6,LOW
11.0,143,29.4,68.8,HIGH
11.05,88,30.4,81.0,HIGH
6.1,30,31.0,71.0,MEDIUM
0.86,17,25.1,63.2,LOW
2.15,10,28.3,36.0,LOW
5.59,21,37.7,72.9,MEDIUM
2.45,13,26.3,43.2,LOW
0.9,22,23.1,50.9,LOW
0.93,6,29.3,50.4,LOW
2.79,13,20.6,53.7,LOW
15.5,135,37.5,62.0,HIGH
1.52,5,30.3,54.9,LOW
3.45,14,29.3,55.9,LOW
5.47,40,25.4,45.3,MEDIUM
7.95,45,31.1,52.9,MEDIUM
24.64,109,45.0,89.9,HIGH
4.12,17,28.7,50.5,MEDIUM
1.42,10,25.6,50.4,LOW
3.33,1,20.1,56.4,LOW
2.74,17,25.6,35.3,LOW
6.24,38,29.8,77.7,MEDIUM
1.69,5,24.7,41.3,LOW
13.48,86,32.8,80.8,HIGH
3.47,20,30.9,37.7,LOW
8.55,85,41.0,86.6,HIGH
2.69,18,28.3,37.5,LOW
8.09,22,33.2,74.5,MEDIUM
2.55,17,22.5,41.5,LOW
3.86,12,25.7,57.7,LOW
1.03,11,21.5,46.4,LOW
3.45,6,22.7,47.5,LOW
6.54,40,29.9,66.3,MEDIUM
1.14,4,27.1,48.0,LOW
5.4,51,31.3,77.7,MEDIUM
1.05,9,21.5,55.0,LOW
5.96,36,30.0,67.1,MEDIUM
4.34,63,30.2,65.1,MEDIUM
4.04,0,25.8,54.2,LOW
6.58,54,34.7,66.7,MEDIUM
6.12,38,35.8,75.5,MEDIUM
1.87,0,30.2,48.6,LOW
4.13,44,36.2,78.5,MEDIUM
5.38,21,30.6,68.9,MEDIUM
0.94,7,26.5,50.7,LOW
16.75,108,44.8,85.0,HIGH
5.65,54,29.1,48.7,MEDIUM
3.96,23,24.2,45.6,LOW
7.81,42,26.6,53.5,MEDIUM
11.64,68,39.4,63.9,HIGH
3.37,11,30.8,43.4,LOW
2.51,44,27.4,59.8,MEDIUM
6.9,39,30.4,71.5,MEDIUM
2.67,15,27.4,56.9,LOW
3.1,8,25.5,51.6,LOW
2.09,11,25.2,42.2,LOW
1.79,7,27.3,58.1,LOW
12.25,74,41.6,72.4,HIGH
6.27,31,30.1,59.7,MEDIUM
15.07,66,39.0,68.1,HIGH
15.83,98,34.9,62.6,HIGH
3.7,11,29.8,34.4,LOW
2.06,14,25.8,38.4,LOW
10.12,81,37.9,85.2,HIGH
5.27,52,34.8,72.1,MEDIUM
4.54,39,33.6,79.7,MEDIUM
1.12,9,30.8,53.7,LOW
2.18,6,29.6,42.6,LOW
0.95,15,26.0,47.4,LOW
0.52,21,25.5,45.0,LOW
0.28,17,31.0,47.3,LOW
3.78,61,27.7,60.2,MEDIUM
2.12,13,20.6,47.6,LOW
14.36,145,44.6,87.2,HIGH
15.38,145,37.9,76.4,HIGH
0.85,13,27.6,40.1,LOW
3.06,12,24.1,41.2,LOW
2.47,7,29.7,49.6,LOW
1.38,14,25.5,38.4,LOW
1.59,13,29.3,44.9,LOW
5.3,32,32.6,84.7,MEDIUM
9.76,63,40.0,89.2,HIGH
5.02,23,35.0,71.2,MEDIUM
3.75,21,29.0,48.9,LOW
18.9,141,40.0,87.2,HIGH
5.5,36,33.2,66.0,MEDIUM
9.01,87,40.1,77.4,HIGH
1.69,19,23.3,46.8,LOW
1.57,13,19.6,47.8,LOW
8.16,30,30.8,72.4,MEDIUM
4.9,50,32.7,76.9,MEDIUM
2.42,9,22.4,46.9,LOW
7.41,44,25.1,63.6,MEDIUM
16.03,99,42.5,76.2,HIGH
3.32,16,20.2,47.1,LOW
1.13,11,24.5,40.0,LOW
2.19,19,26.9,39.4,LOW
4.9,43,35.7,66.6,MEDIUM
9.27,39,28.3,71.5,MEDIUM
9.05,52,32.7,75.1,HIGH
2.67,10,29.0,46.6,LOW
1.93,14,25.8,51.7,LOW
1.6,4,27.2,55.3,LOW
2.08,2,27.2,51.5,LOW
1.38,12,29.3,57.8,LOW
0.1,11,25.2,54.7,LOW
4.65,42,28.8,53.4,MEDIUM
2.74,42,25.8,47.8,MEDIUM
2.93,48,26.0,52.9,MEDIUM
1.6,18,21.0,48.4,LOW
4.14,22,23.9,37.4,LOW
6.82,30,32.5,64.6,MEDIUM
2.55,58,27.6,45.0,MEDIUM
0.94,16,23.5,50.3,LOW
6.15,26,35.5,74.3,MEDIUM
17.64,83,44.9,81.7,HIGH
22.11,75,30.7,66.2,HIGH
3.99,25,33.1,74.6,MEDIUM
1.9,6,20.4,50.5,LOW
1.5,12,28.6,33.4,LOW
7.76,16,28.0,51.5,MEDIUM
2.58,16,30.6,58.0,LOW
9.02,129,39.4,82.9,HIGH
3.05,9,29.6,46.8,LOW
6.83,20,33.6,58.7,MEDIUM
18.56,84,38.1,81.8,HIGH
6.62,47,29.5,61.9,HIGH
17.26,95,40.8,76.4,HIGH
3.83,15,27.1,37.1,LOW
2.11,12,23.1,63.3,LOW
5.84,62,30.2,68.9,MEDIUM
2.97,14,20.9,49.9,LOW
7.44,40,29.7,72.2,MEDIUM
4.93,37,33.5,72.7,MEDIUM
1.02,14,21.3,54.9,LOW
3.65,11,23.2,61.2,LOW
0.25,22,23.2,45.3,LOW
3.08,18,22.5,45.4,LOW
0.77,10,25.3,49.6,LOW
17.68,79,37.5,77.2,HIGH
2.05,16,24.0,46.4,LOW
4.89,44,31.6,69.9,MEDIUM
3.76,9,21.9,37.0,LOW
11.6,72,37.4,69.3,HIGH
24.38,118,39.5,94.6,HIGH
7.21,42,31.4,76.5,MEDIUM
5.25,25,38.9,77.9,MEDIUM
11.38,91,40.5,84.9,HIGH
2.59,41,29.3,58.1,MEDIUM
4.63,45,32.2,62.8,MEDIUM
13.18,101,31.3,84.9,HIGH
6.16,46,31.1,64.2,MEDIUM
5.94,42,33.1,65.1,MEDIUM
4.13,57,26.5,66.0,MEDIUM
2.95,12,28.2,57.5,LOW
7.23,30,35.6,67.6,MEDIUM
12.9,92,35.5,78.1,HIGH
3.76,6,23.3,40.9,LOW
1.7,16,26.6,44.8,LOW
6.04,43,31.4,72.2,MEDIUM
3.32,4,30.2,46.4,LOW
1.07,10,22.9,63.7,LOW
6.92,33,31.1,74.6,MEDIUM
1.66,18,25.6,41.3,LOW
3.04,24,33.7,80.2,MEDIUM
6.49,42,33.0,79.0,MEDIUM
3.21,16,27.9,39.7,LOW
1.1,4,21.0,43.4,LOW
3.56,2,22.1,53.6,LOW
7.05,49,30.1,50.6,MEDIUM
6.23,41,28.4,65.3,MEDIUM
5.04,48,25.5,50.7,MEDIUM
3.46,4,26.4,51.5,LOW
3.34,23,19.3,46.6,LOW
1.59,6,19.2,41.7,LOW
15.92,87,37.8,89.5,HIGH
11.18,129,34.4,71.8,HIGH
